president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),All polls,Blueprint Polling,,3/13/2025,3/14/2025,1400, LV,1.113644,0.0454345,,45,51,-6,45.61582,50.72105,-5.105228,https://blueprint-research.com/polling/trump-musk-vulnerabilities-topline/,3/14/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/24/2025,3/28/2025,1500, LV,0.1517054,0.0428207,TRUE,50,48,2,48.36165,48.55627,-0.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/28/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/25/2025,3/31/2025,1500, LV,0.1087787,0.0404371,TRUE,51,48,3,49.36165,48.55627,0.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/31/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Global Strategy Group/GBAO (Navigator Research),,3/13/2025,3/17/2025,1000, RV,0.8260709,0.0367976,,47,49,-2,47.10466,48.68984,-1.585178,https://navigatorresearch.org/wp-content/uploads/2025/03/Navigator-Topline-F03.17.25.pdf,3/17/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Morning Consult,,3/14/2025,3/16/2025,2210, RV,0.5967723,0.035308,,48,50,-2,47.5505,49.81258,-2.262081,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/16/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/27/2025,4/2/2025,1500, LV,0.1080875,0.0343461,TRUE,49,49,0,47.09159,49.71701,-2.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,4/2/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,3/12/2025,3/19/2025,3000, RV,0.7265997,0.0326599,,53,45,8,50.07474,47.16923,2.90551,https://napolitannews.org/posts/president-trump-job-approval-rating-53-percent-approve-45-disapprove,3/19/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/24/2025,3/28/2025,1500, LV,0.1517054,0.0326033,TRUE,50,48,2,48.09159,48.71701,-0.6254196,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/28/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/26/2025,4/1/2025,1500, LV,0.1081961,0.0314581,TRUE,50,49,1,48.09159,49.71701,-1.62542,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,4/1/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Economist,3/16/2025,3/18/2025,1618, A,0.6105279,0.0288023,,45,50,-5,44.41605,51.67289,-7.25684,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf#page40,3/18/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Economist,3/16/2025,3/18/2025,1618, A,0.6105279,0.0288023,,45,50,-5,45.09542,51.02879,-5.933369,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf#page40,3/18/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/25/2025,3/31/2025,1500, LV,0.1087787,0.028658,TRUE,51,48,3,49.09159,48.71701,0.3745804,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/31/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Hart Research Associates/Public Opinion Strategies,NBC News,3/7/2025,3/11/2025,1000, RV,1.270486,0.0273223,,47,51,-4,47.13511,50.45051,-3.315399,https://www.documentcloud.org/documents/25569109-nbc-march-2025-poll-3-16-2025-release/,3/11/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Emerson College,,3/8/2025,3/10/2025,1000, RV,1.214735,0.0245577,,47.2,45,2.200001,47.42009,47.09264,0.3274498,https://thehill.com/homenews/administration/5187064-trump-approval-rating-drops/,3/10/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Echelon Insights,,3/10/2025,3/13/2025,1007, LV,1.216695,0.024309,,49,48,1,48.38212,48.27949,0.1026268,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2025-Voter-Omnibus-Topline-External.pdf,3/13/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/14/2025,3/20/2025,1500, LV,0.317455,0.0242537,TRUE,51,47,4,49.36165,47.55627,1.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/20/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/20/2025,3/26/2025,1500, LV,0.1063665,0.0227218,TRUE,51,48,3,49.36165,48.55627,0.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/26/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/19/2025,3/25/2025,1500, LV,0.1065816,0.0202523,TRUE,52,47,5,50.36165,47.55627,2.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/25/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/17/2025,3/21/2025,1500, LV,0.1494368,0.0181269,TRUE,52,46,6,50.36165,46.55627,3.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/21/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/18/2025,3/24/2025,1500, LV,0.1069766,0.0178071,TRUE,51,47,4,49.36165,47.55627,1.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/24/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/14/2025,3/20/2025,1500, LV,0.317455,0.0169776,TRUE,51,47,4,49.09159,47.71701,1.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/20/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,YouGov,Economist,3/9/2025,3/11/2025,1532, RV,0.726271,0.0158796,,48,49,-1,48.07023,48.88137,-0.811142,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ddjSlqx.pdf#page=35,3/11/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,3/6/2025,3/13/2025,3000, RV,0.6971431,0.0158714,,54,44,10,51.37474,45.96177,5.412971,https://napolitannews.org/posts/president-trump-job-approval-54-percent-approve-44-disapprove,3/13/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/20/2025,3/26/2025,1500, LV,0.1063665,0.0155661,TRUE,51,48,3,49.09159,48.71701,0.3745804,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/26/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,3/14/2025,3/16/2025,2210, RV,0.4975964,0.0139315,,48,50,-2,47.07719,51.28051,-4.20332,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/16/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Quinnipiac University,,3/6/2025,3/10/2025,1198, RV,1.31116,0.0131334,,42,53,-11,44.03617,52.24505,-8.208878,https://poll.qu.edu/poll-release?releaseid=3921,3/10/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/19/2025,3/25/2025,1500, LV,0.1065816,0.0131107,TRUE,52,47,5,50.09159,47.71701,2.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/25/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,Ipsos,Reuters,3/11/2025,3/12/2025,1422, A,0.7249324,0.0108319,,44,52,-8,45.2837,51.4628,-6.1791,https://www.reuters.com/data/trumps-approval-rating-2025-01-21/,3/12/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Ipsos,Reuters,3/11/2025,3/12/2025,1422, A,0.7249324,0.0108319,,44,52,-8,45.94195,50.87397,-4.932018,https://www.reuters.com/data/trumps-approval-rating-2025-01-21/,3/12/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/18/2025,3/24/2025,1500, LV,0.1069766,0.0106717,TRUE,51,47,4,49.09159,47.71701,1.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/24/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/17/2025,3/21/2025,1500, LV,0.1494368,0.0103178,TRUE,52,46,6,50.09159,46.71701,3.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/21/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/13/2025,3/19/2025,1500, LV,0.1061423,0.0072535,TRUE,50,48,2,48.36165,48.55627,-0.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/19/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/7/2025,3/13/2025,1500, LV,0.3156289,0.0072048,TRUE,52,47,5,50.36165,47.55627,2.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/13/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/12/2025,3/18/2025,1500, LV,0.1063024,0.0064367,TRUE,50,48,2,48.36165,48.55627,-0.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/18/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,SSRS,CNN,3/6/2025,3/9/2025,, RV,0.681035,0.0060478,,46,53,-7,46.56958,51.01412,-4.444538,https://s3.documentcloud.org/documents/25558091/cnn-poll-trumps-performance-and-economy.pdf,3/9/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/11/2025,3/17/2025,1500, LV,0.1065415,0.0056252,TRUE,50,47,3,48.36165,47.55627,0.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/17/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/10/2025,3/14/2025,1500, LV,0.148798,0.0056152,TRUE,50,48,2,48.36165,48.55627,-0.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/14/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/13/2025,3/19/2025,1500, LV,0.1061423,0.0048356,TRUE,50,48,2,48.09159,48.71701,-0.6254196,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/19/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Morning Consult,,3/7/2025,3/9/2025,2219, RV,0.5948449,0.00434,,49,49,0,48.5505,48.81258,-0.2620811,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/9/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/12/2025,3/18/2025,1500, LV,0.1063024,0.004023,TRUE,50,48,2,48.09159,48.71701,-0.6254196,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/18/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/11/2025,3/17/2025,1500, LV,0.1065415,0.0032144,TRUE,50,47,3,48.09159,47.71701,0.3745804,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/17/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/10/2025,3/14/2025,1500, LV,0.148798,0.0022461,TRUE,50,48,2,48.09159,48.71701,-0.6254196,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/14/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/6/2025,3/12/2025,1500, LV,0.1054882,0.0016046,TRUE,52,47,5,50.36165,47.55627,2.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/12/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/5/2025,3/11/2025,1500, LV,0.1059175,0.0008052,TRUE,51,47,4,49.36165,47.55627,1.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/11/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Hart Research Associates/Public Opinion Strategies,NBC News,3/7/2025,3/11/2025,1000, RV,1.270486,0,,47,51,-4,47.00531,50.60654,-3.601231,https://www.documentcloud.org/documents/25569109-nbc-march-2025-poll-3-16-2025-release/,3/11/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,1/23/2025,1/29/2025,1500, LV,0.1292621,0,TRUE,50,47,3,48.09159,47.71701,0.3745804,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,1/29/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,SSRS,CNN,2/24/2025,2/28/2025,2212, A,0.7394239,0,,48,52,-4,48.47704,50.15643,-1.67939,https://www.cnn.com/2025/03/02/politics/poll-trump-negative-congress-address,2/28/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,2/28/2025,3/6/2025,1500, LV,0.2123621,0,TRUE,50,48,2,48.09159,48.71701,-0.6254196,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/6/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Ipsos,Reuters,3/3/2025,3/4/2025,1174, A,0.6324428,0,,44,51,-7,45.94195,49.87397,-3.932018,https://www.ipsos.com/en-us/three-five-americans-say-cost-living-going-wrong-direction,3/4/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Hoover Institution,2/19/2025,2/24/2025,1645, A,0.4479873,0,,47,42,5,46.41605,43.67289,2.74316,https://hoover.org/sites/default/files/2025-03/Crosstabs%20-%20Tariff%20Policy%20-%20Hoover%20Institution%20Survey.pdf?_gl=1*1qsu47j*_gcl_au*NzgxODA1ODkuMTc0MTM4OTE0NQ..*_ga*MTY2Nzg3Njc3OC4xNzQxMzg5MTQ1*_ga_0PJBLNCVZ1*MTc0MTM4OTE0NS4xLjEuMTc0MTM4OTE0NS42MC4wLjA.,2/24/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Fabrizio Lee & Associates/Impact Research,AARP,1/27/2025,2/1/2025,3000, RV,1.205463,0,,48,47,1,48.22467,46.60593,1.61874,https://www.aarp.org/content/dam/aarp/research/topics/voter-opinion-research/politics/federal-tax-package-legislative-priorities.doi.10.26419-2fres.00921.001.pdf,2/1/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,John Zogby Strategies,,2/28/2025,3/1/2025,1001, V,0.9844407,0,,47.7,47.5,0.2000008,47.71454,47.77407,-0.0595322,https://johnzogbystrategies.com/03-03-25-new-zogby-strategies-poll-on-trump-the-democrats-first-40-days/,3/1/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Emerson College,,1/27/2025,1/28/2025,1000, RV,1.351629,0,,48.5,41.2,7.299999,48.72009,43.29264,5.427448,https://emersoncollegepolling.com/january-2025-national-poll-trump-starts-term-with-49-approval-41-disapproval-rating/,1/28/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Adults,Morning Consult,,2/27/2025,3/5/2025,45000, A,1.718826,0,TRUE,48.74,44.66,4.080002,47.49022,47.39913,0.0910873,https://pro.morningconsult.com/trackers/global-leader-approval,3/5/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,The Bullfinch Group,Independent Center,2/22/2025,2/26/2025,1000, RV,0.91647,0,,48,47,1,48.01242,47.24589,0.7665291,https://projects.fivethirtyeight.com/polls/20250303_US_Bullfinch.pdf,2/26/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,2/18/2025,2/24/2025,1500, LV,0.1036183,0,TRUE,51,48,3,49.09159,48.71701,0.3745804,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/24/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Elon University,2/6/2025,2/11/2025,1000, A,0.399068,0,,45,41,4,44.41605,42.67289,1.74316,https://eloncdn.blob.core.windows.net/eu3/sites/819/2025/02/Elon-University-Poll-topline-2-25-25.pdf,2/11/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Ipsos,Reuters,1/24/2025,1/26/2025,1034, A,0.7126351,0,,45,46,-1,46.94195,44.87397,2.067982,https://www.reuters.com/world/us/americans-sour-some-trumps-early-moves-reutersipsos-poll-finds-2025-01-28/,1/26/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Public Opinion Strategies,Paragon Health Institute,2/25/2025,3/2/2025,1000, RV,1.268962,0,,51,49,2,50.08951,48.80987,1.27964,https://paragoninstitute.org/medicaid/paragon-health-policy-survey-2025/,3/2/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,2/12/2025,2/18/2025,1500, LV,0.1047793,0,TRUE,53,45,8,51.09159,45.71701,5.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/18/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,2/12/2025,2/18/2025,1500, LV,0.1047793,0,TRUE,53,45,8,51.36165,45.55627,5.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/18/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,2/24/2025,2/28/2025,1500, LV,0.1482736,0,TRUE,50,48,2,48.09159,48.71701,-0.6254196,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/28/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,InsiderAdvantage,,1/20/2025,1/20/2025,800, RV,1.09318,0,,56,39,17,55.02932,39.83791,15.19141,https://insideradvantage.com/first-insideradvantage-trump-job-performance-survey-approval-hits-fifty-six-percent-post-inaugural-address/,1/20/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Quinnipiac University,,2/13/2025,2/17/2025,1039, RV,1.236978,0,,45,49,-4,46.84621,48.36332,-1.517109,https://poll.qu.edu/poll-release?releaseid=3919,2/17/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,,2/14/2025,2/18/2025,1135, A,0.3909405,0,,46,46,0,45.41605,47.67289,-2.25684,https://d3nkl3psvxxpe9.cloudfront.net/documents/News_Consumption_poll_results_An53LUg.pdf,2/18/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Adults,Marquette University Law School,,1/27/2025,2/5/2025,1063, A,1.552699,0,,48,52,-4,47.72091,50.81784,-3.096931,https://law.marquette.edu/poll/2025/02/11/detailed-results-of-the-marquette-law-school-supreme-court-poll-jan-27-feb-5-2025-national-issues/,2/5/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,Harris Insights & Analytics,Harvard CAPS,2/19/2025,2/20/2025,2443, RV,1.382092,0,,52,43,9,50.91016,44.56234,6.34782,https://harvardharrispoll.com/wp-content/uploads/2025/02/HHP_Feb2025_vFinal.pdf,2/20/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,1/28/2025,2/3/2025,1500, LV,0.1163969,0,TRUE,52,45,7,50.09159,45.71701,4.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/3/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Ipsos,Reuters,1/20/2025,1/21/2025,1077, A,0.7492483,0,,47,41,6,48.94195,39.87397,9.067982,https://www.ipsos.com/en-us/reuters-ipsos-trump-inauguration-survey,1/21/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Trafalgar Group/Insider Advantage,,2/7/2025,2/9/2025,1321, RV,0.9507654,0,,53.9,45.3,8.600002,52.65103,46.166,6.485031,https://www.thetrafalgargroup.org/wp-content/uploads/2025/02/National-25-Trump-Approval-Full-Report-0210.pdf,2/9/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Economist,3/1/2025,3/4/2025,1638, A,0.5583388,0,,48,46,2,48.09542,47.02879,1.066631,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uHE5Cxl.pdf,3/4/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,TIPP Insights,Issues & Insights,2/26/2025,2/28/2025,1434, A,1.541307,0,,46,43,3,46.61004,45.43431,1.175728,https://tippinsights.com/voters-still-view-trump-favorably-but-remain-worried-about-economy-inflation-i-i-tipp-poll/,2/28/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,YouGov,Elon University,2/6/2025,2/11/2025,1000, A,0.399068,0,,45,41,4,45.09542,42.02879,3.066631,https://eloncdn.blob.core.windows.net/eu3/sites/819/2025/02/Elon-University-Poll-topline-2-25-25.pdf,2/11/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,SSRS,CNN,2/24/2025,2/28/2025,2212, A,0.7394239,0,,48,52,-4,48.08851,50.53395,-2.445442,https://www.cnn.com/2025/03/02/politics/poll-trump-negative-congress-address,2/28/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,OnMessage Inc.,Rescuing the American Dream,2/17/2025,2/19/2025,1000, LV,1.404286,0,,50,49,1,49.54627,48.60146,0.944809,https://onmessageinc.com/wp-content/uploads/2025/03/National-Survey-RAD-Conference-3-25-RAD-conference-3-5-25.pdf,2/19/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,2/4/2025,2/10/2025,1500, LV,0.1093742,0,TRUE,53,45,8,51.09159,45.71701,5.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/10/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,2/18/2025,2/24/2025,1500, LV,0.1036183,0,TRUE,51,48,3,49.36165,48.55627,0.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/24/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,1/29/2025,2/4/2025,1500, LV,0.1145397,0,TRUE,51,45,6,49.09159,45.71701,3.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/4/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,2/27/2025,3/5/2025,45000, A,1.019102,0,TRUE,48.74,44.66,4.080002,47.81719,45.94051,1.876678,https://pro.morningconsult.com/trackers/global-leader-approval,3/5/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,The Justice Research Fund,Working Families Power,2/24/2025,3/2/2025,2049, RV,1.05615,0,,47,50,-3,47.28932,49.40733,-2.118008,https://drive.google.com/file/d/1psgeNBsAPSV3-diBTaAIE4_wiFjYwk5y/view,3/2/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,2/14/2025,2/16/2025,2217, RV,0.5267006,0,,50,47,3,49.07719,48.28051,0.7966805,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,2/16/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,1/20/2025,1/23/2025,3000, RV,0.9274465,0,,57,39,18,54.07474,41.16923,12.90551,https://x.com/ScottWRasmussen/status/1882804554187538650,1/23/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,J.L. Partners,Daily Mail,2/7/2025,2/9/2025,1017, RV,1.015341,0,,46,40,6,46.81336,42.90223,3.911129,https://jlpartners.com/trump-tracker-february-2025,2/9/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Morning Consult,,2/21/2025,2/24/2025,2225, RV,0.3977953,0,,50,47,3,49.07719,48.28051,0.7966805,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,2/24/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,2/17/2025,2/21/2025,1500, LV,0.1453316,0,TRUE,50,48,2,48.36165,48.55627,-0.194622,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/21/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),All polls,OnMessage Inc.,Rescuing the American Dream,2/17/2025,2/19/2025,1000, LV,1.404286,0,,50,49,1,49.49574,48.58374,0.9119987,https://onmessageinc.com/wp-content/uploads/2025/03/National-Survey-RAD-Conference-3-25-RAD-conference-3-5-25.pdf,2/19/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/6/2025,3/12/2025,1500, LV,0.1054882,0,TRUE,52,47,5,50.09159,47.71701,2.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,3/12/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,YouGov,Economist,1/26/2025,1/28/2025,1577, A,0.8026743,0,,49,43,6,48.41605,44.67289,3.74316,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_HmzVWgj.pdf,1/28/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Adults,AtlasIntel,,3/7/2025,3/12/2025,2550, A,2.008152,0,,47.3,52.4,-5.100002,46.55024,51.37604,-4.825802,https://atlasintel.org/poll/usa-national-2025-03-17,3/12/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),All polls,Rasmussen Reports,,2/7/2025,2/13/2025,1500, LV,0.3195485,0,TRUE,54,44,10,52.09159,44.71701,7.37458,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,2/13/2025,17:16:51 13 Apr 2025
Donald Trump (2nd term),Adults,Marist College,NPR | PBS News,2/24/2025,2/26/2025,1694, A,1.574325,0,,45,49,-4,45.70446,48.7955,-3.091042,https://maristpoll.marist.edu/polls/the-state-of-the-union-march-2025/,2/26/2025,17:16:54 13 Apr 2025
Donald Trump (2nd term),Voters,Rasmussen Reports,,1/20/2025,1/24/2025,1500, LV,0.2133794,0,TRUE,52,43,9,50.36165,43.55627,6.805378,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,1/24/2025,17:16:52 13 Apr 2025
Donald Trump (2nd term),Voters,Morning Consult,,2/14/2025,2/16/2025,2217, RV,0.6090301,0,,50,47,3,49.5505,46.81258,2.737919,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,2/16/2025,17:16:52 13 Apr 2025
