name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,age,points,games_played,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls
Cam Christie,Los Angeles Clippers,United States,12,SG,PG,Catch & Shoot Threat,"6'6""",190,"6'10""",NA,1,2005-07-24,68,67,79,80,79,50,87,82,42,86,80,68,70,68,48,47,62,39,30,42,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Spencer,Memphis Grizzlies,United States,24,SG,SF,Catch & Shoot Ace,"6'4""",207,"6'8""",NA,1,2000-04-06,68,68,79,82,90,60,73,73,45,85,80,67,66,67,49,44,59,49,44,47,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Johnson,Brooklyn Nets,United States,2,PF,SF,Stretch Four,"6'8""",210,"6'10""",22500000,6,1996-03-03,79,77,81,83,82,70,70,70,60,85,78,59,59,66,60,65,69,43,45,43,60,27,13.4,58,47,27.6,4.8,10.7,0.446,2.4,6.1,0.391,2.4,4.6,0.519,0.557,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1,1.8
Cameron Payne,New York Knicks,United States,1,PG,NA,3-Level Scoring Threat,"6'3""",183,"6'7""",2087519,10,1994-08-08,75,89,90,83,85,60,75,75,39,82,84,75,86,79,46,31,60,46,45,34,45,29,7.4,78,10,16.7,2.7,6.2,0.432,1.3,3.4,0.39,1.3,2.7,0.486,0.541,0.7,0.9,0.866,0.3,1.2,1.5,2.6,0.5,0.1,0.8,1.6
Cam Reddish,Los Angeles Lakers,United States,5,SG,SF,Defensive Menace,"6'7""",217,"7'1""",2463946,6,1999-09-01,73,62,60,77,85,45,85,85,52,90,80,68,81,69,71,55,79,78,51,41,44,24,5.4,48,26,20.5,1.9,4.9,0.389,0.8,2.3,0.336,1.1,2.6,0.435,0.468,0.9,1.1,0.759,0.6,1.5,2.1,1,1,0.3,0.6,1.3
Cam Thomas,Brooklyn Nets,United States,24,SG,SF,3-Level Scoring Threat,"6'3""",210,"6'7""",4041249,4,2001-10-13,81,88,82,81,84,70,77,77,54,86,80,59,82,52,48,41,59,38,42,32,50,22,22.5,66,51,31.4,8,18,0.442,2.2,6,0.364,5.8,12,0.481,0.503,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1
Cam Whitmore,Houston Rockets,United States,7,SF,PF,Shot-Creating 3-Level Threat,"6'7""",230,"6'9""",3379080,2,2004-07-08,78,86,83,79,70,65,84,84,68,88,80,68,86,69,56,57,67,49,57,51,67,19,12.3,47,2,18.7,4.5,9.9,0.454,1.7,4.7,0.359,2.8,5.3,0.538,0.539,1.6,2.4,0.679,0.9,2.9,3.8,0.7,0.6,0.4,1,1.4
Caris LeVert,Cleveland Cavaliers,United States,3,SG,SF,Inside-Out Shot Creator,"6'6""",205,"6'10""",16615384,9,1994-08-25,77,78,71,75,74,70,75,77,54,92,78,75,86,84,61,45,74,56,56,36,60,29,14,68,10,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,0.487,2.3,3,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8
Cason Wallace,Oklahoma City Thunder,United States,22,PG,SG,2-Way 3-Level Scoring Threat,"6'3""",195,"6'9""",5555880,2,2003-11-07,76,82,81,85,76,75,75,87,55,90,80,75,78,75,69,48,81,66,60,42,46,20,6.8,82,13,20.6,2.6,5.4,0.491,1.2,2.9,0.419,1.5,2.5,0.572,0.602,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6
Charles Bassey,San Antonio Spurs,United States,28,C,NA,Board-Hunting Paint Protector,"6'10""",230,"7'3""",2087519,4,2000-10-28,73,83,69,62,60,40,77,77,69,80,80,35,42,48,64,69,57,53,88,79,90,23,3.3,19,0,10.8,1.5,2.1,0.725,0,0.1,0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6
Charles Brown Jr.,Charlotte Hornets,United States,44,SF,SG,Perimeter Shot Creator,"6'6""",199,"6'7""",NA,6,1997-02-02,68,75,76,79,82,55,73,73,55,80,83,62,77,60,51,40,65,51,60,67,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chet Holmgren,Oklahoma City Thunder,United States,7,C,PF,2-Way 3-Level Scoring Threat,"7'1""",195,"7'6""",10880640,3,2002-05-01,87,97,86,83,87,80,75,75,45,87,80,60,65,59,78,90,75,38,92,64,83,21,16.5,82,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,0.598,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4
Chris Boucher,Toronto Raptors,Saint Lucia,25,C,PF,Inside-Out Scoring Threat,"6'9""",200,"7'4""",10810000,8,1993-01-11,74,82,71,76,78,55,57,55,80,89,77,33,41,59,59,76,37,38,72,68,81,31,6.4,50,0,14.1,2.2,4.3,0.507,0.6,1.9,0.33,1.6,2.5,0.642,0.578,1.4,1.8,0.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,1.4
Chris Duarte,Chicago Bulls,Canada,27,SF,SG,3 & D Threat,"6'5""",190,"6'7""",5893768,4,1997-06-13,72,73,53,79,79,50,65,68,59,92,80,77,75,78,61,50,69,56,50,45,57,26,3.9,59,11,12.2,1.4,3.6,0.381,0.7,2.2,0.346,0.6,1.4,0.434,0.486,0.4,0.6,0.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4
Chris Livingston,Milwaukee Bucks,United States,7,PF,SF,Interior Threat,"6'6""",220,"6'11""",1891857,2,2003-10-15,69,76,68,70,72,60,80,80,54,85,80,65,69,52,52,52,64,47,48,52,51,20,1.2,21,0,4.3,0.5,1,0.5,0,0.2,0.2,0.5,0.8,0.588,0.523,0.1,0.2,0.75,0.1,0.9,1,0.2,0.1,0,0.2,0.7
Chris Paul,San Antonio Spurs,United States,3,PG,NA,2-Way 3-Level Playmaker,"6'0""",175,"6'4""",10460000,20,1985-05-06,81,97,79,82,91,85,80,81,62,80,77,87,87,87,68,61,81,66,35,31,62,38,9.2,58,18,26.4,3.6,8.1,0.441,1.3,3.6,0.371,2.2,4.4,0.498,0.525,0.7,0.9,0.827,0.3,3.6,3.9,6.8,1.2,0.1,1.3,1.9
Christian Braun,Denver Nuggets,United States,0,SF,SG,Catch & Shoot Ace,"6'6""",220,"6'7""",3089640,3,2001-04-17,76,67,56,82,76,75,83,83,46,93,80,69,69,68,65,40,79,41,57,52,63,22,7.3,82,4,20.2,2.7,5.9,0.46,0.8,2,0.384,1.9,3.9,0.498,0.525,1.1,1.6,0.694,1,2.8,3.7,1.6,0.5,0.4,0.7,1.7
Christian Koloko,Los Angeles Lakers,Cameroon,35,C,NA,Paint Protector,"7'0""",230,"7'5""",NA,3,2000-06-20,72,65,60,29,63,75,72,72,59,80,80,37,42,52,62,75,37,41,89,75,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Wood,Los Angeles Lakers,United States,35,C,PF,Interior Threat,"6'9""",214,"7'3""",3036040,10,1995-09-27,74,82,71,73,77,25,56,62,74,93,83,30,60,40,59,60,60,35,72,51,87,28,6.9,50,1,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.8,3,0.587,0.532,1.3,1.9,0.702,0.8,4.3,5.1,1,0.3,0.7,1,1.4
C.J. McCollum,New Orleans Pelicans,United States,3,PG,SG,Inside-Out ISO Specialist,"6'3""",190,"6'6""",33333333,12,1991-09-19,84,97,85,86,83,85,82,84,60,98,80,78,86,82,56,35,70,42,58,35,56,32,20,66,66,32.7,7.3,16,0.459,3.6,8.4,0.429,3.7,7.5,0.492,0.572,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9
Clint Capela,Atlanta Hawks,Switzerland,15,C,NA,Paint Beast,"6'10""",256,"7'5""",22265280,11,1994-05-18,80,86,50,25,64,70,58,60,85,92,83,34,48,35,71,84,53,38,85,96,88,29,11.5,73,73,25.8,4.8,8.5,0.571,0,0,0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2
Coby White,Chicago Bulls,United States,0,PG,SG,Inside-Out ISO Specialist,"6'5""",195,"6'5""",12000000,6,2000-02-16,81,82,72,81,82,70,85,85,56,90,80,79,86,84,53,49,64,36,40,33,56,23,19.1,79,78,36.5,6.8,15.3,0.447,2.6,7,0.376,4.2,8.3,0.508,0.534,2.8,3.3,0.838,0.6,4,4.5,5.1,0.7,0.2,2.1,2.4
Cody Martin,Charlotte Hornets,United States,11,SG,SF,Inside-Out Shot Creator,"6'6""",205,"6'10""",8120000,6,1995-09-28,76,75,42,78,73,75,68,72,58,90,80,74,73,78,62,48,69,59,58,39,58,28,7.5,28,22,26.9,2.9,7.7,0.381,1,3.1,0.314,2,4.6,0.426,0.444,0.7,1.2,0.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7
Cody Williams,Utah Jazz,United States,5,SF,PF,Rim Attacker,"6'8""",180,"7'0""",5469120,1,2004-11-20,71,72,66,72,72,55,87,86,51,90,80,63,82,63,64,55,73,67,65,41,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cody Zeller,Atlanta Hawks,United States,40,C,NA,Board Hunter,"6'11""",240,"6'9""",3500000,12,1992-10-05,73,80,70,38,69,60,70,54,75,89,84,68,40,64,53,60,37,36,47,79,77,31,1.8,43,0,7.4,0.6,1.4,0.419,0,0.1,0.333,0.6,1.4,0.424,0.427,0.5,0.9,0.605,1.1,1.5,2.6,0.9,0.2,0.1,0.4,1
Colby Jones,Sacramento Kings,United States,20,SG,SF,Perimeter Defender,"6'6""",207,"6'8""",2120693,2,2002-05-28,71,93,68,62,67,75,74,75,48,90,80,67,68,70,54,49,71,70,37,59,60,21,2.1,30,0,6.4,0.9,2.4,0.394,0.1,0.7,0.091,0.9,1.6,0.531,0.408,0.2,0.4,0.545,0.6,0.8,1.3,0.7,0.2,0.2,0.3,1
Cole Anthony,Orlando Magic,United States,50,PG,SG,Balanced Point,"6'2""",185,"6'5""",12900000,5,2000-05-15,78,92,74,77,84,60,84,84,59,88,98,82,84,82,53,45,69,49,58,45,66,23,11.6,81,0,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3,6,0.49,0.496,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2
Cole Swider,Indiana Pacers,United States,21,PF,NA,Stretch Four,"6'8""",220,"6'8""",NA,3,1999-05-08,67,70,72,76,80,50,52,52,54,85,80,55,42,59,53,75,42,37,35,44,51,24,2.3,18,0,4.8,0.8,2.1,0.395,0.6,1.7,0.333,0.3,0.4,0.625,0.526,0.1,0.1,1,0.1,0.3,0.4,0.3,0.1,0.1,0.4,0.2
Colin Castleton,Los Angeles Lakers,United States,14,C,NA,Promising Prospect,"6'10""",250,"7'2""",NA,2,2000-05-25,68,73,64,40,73,50,58,54,63,80,80,50,57,60,52,62,32,32,70,64,65,23,1.5,16,0,3.7,0.6,1,0.563,0,0,0,0.6,1,0.563,0.563,0.4,0.4,1,0.4,0.4,0.8,0.2,0.1,0,0.2,0.7
Collin Gillespie,Phoenix Suns,United States,12,PG,NA,Perimeter Threat,"6'1""",195,"6'4""",NA,3,1999-06-25,69,74,75,82,87,50,82,82,33,85,80,79,77,75,52,33,62,38,56,27,53,24,3.6,24,0,9.4,1.3,2.9,0.464,0.6,1.6,0.395,0.7,1.3,0.548,0.572,0.3,0.5,0.667,0,0.8,0.9,1.1,0.5,0,0.6,1
Collin Sexton,Utah Jazz,United States,2,SG,PG,Shot-Creating 3-Level Threat,"6'3""",190,"6'7""",18350000,7,1999-01-04,80,88,82,84,88,60,88,88,58,95,81,75,86,75,55,45,67,42,45,43,42,25,18.7,78,51,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.8,9.1,0.53,0.549,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2
Corey Kispert,Washington Wizards,United States,24,SG,SF,Catch & Shoot Ace,"6'6""",224,"6'7""",5705887,4,1999-03-03,78,94,89,83,75,90,76,76,60,84,80,66,71,69,57,54,70,36,40,32,50,24,13.4,80,22,25.8,4.8,9.9,0.486,2.3,6,0.383,2.5,3.9,0.643,0.602,1.4,2,0.726,0.4,2.4,2.8,2,0.5,0.2,1.2,1.8
Cory Joseph,Orlando Magic,Canada,9,PG,SG,Perimeter Threat,"6'2""",200,"6'6""",3303771,14,1991-08-20,72,88,75,82,79,70,72,80,40,88,84,80,84,80,58,54,75,38,50,31,41,32,2.4,26,0,11.4,0.9,2.5,0.359,0.5,1.6,0.31,0.4,0.8,0.455,0.461,0.2,0.3,0.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1
Craig Porter,Cleveland Cavaliers,United States,9,PG,NA,Perimeter Threat,"6'1""",180,"6'5""",1891857,2,2000-02-26,72,93,86,79,69,65,79,79,48,88,80,75,73,75,57,44,68,46,61,43,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daishen Nix,Minnesota Timberwolves,United States,12,PG,SG,Steady Playmaker,"6'5""",224,"6'7""",NA,4,2002-02-13,70,74,60,74,67,65,90,86,63,80,80,72,75,74,48,37,60,46,42,35,49,21,1.8,15,0,3.3,0.6,1.6,0.375,0.4,1.1,0.353,0.2,0.5,0.429,0.5,0.2,0.4,0.5,0.1,0.1,0.2,0.4,0.3,0,0.3,0.1
Dalano Banton,Portland Trail Blazers,Canada,5,SG,PG,Steady Combo Guard,"6'7""",204,"6'10""",2196970,4,1999-11-07,75,78,72,73,71,70,76,76,66,80,80,78,76,79,56,40,68,46,56,46,64,24,10.3,54,9,19.4,3.7,9.3,0.404,1.1,3.7,0.296,2.6,5.6,0.475,0.463,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2
Dalen Terry,Chicago Bulls,United States,25,SG,SF,Rim Attacker,"6'7""",195,"7'1""",3510480,3,2002-07-12,73,87,72,70,67,70,76,76,58,85,80,76,80,78,63,43,69,59,67,48,61,21,3.1,59,2,11.5,1.2,2.7,0.439,0.3,1.3,0.23,0.9,1.4,0.627,0.494,0.4,0.7,0.581,0.5,1.4,1.9,1.4,0.5,0.3,0.5,1.4
Dalton Knecht,Los Angeles Lakers,United States,4,SF,SG,Catch & Shoot Ace,"6'6""",204,"6'10""",3819120,1,2001-04-19,71,76,79,83,77,60,86,59,50,90,80,64,68,65,48,50,59,37,40,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damian Lillard,Milwaukee Bucks,United States,0,PG,NA,Offensive Architect,"6'2""",195,"6'8""",48787676,13,1990-07-15,89,72,88,85,92,80,87,87,63,97,98,92,95,93,56,31,69,41,40,33,54,33,24.3,73,73,35.3,7.4,17.5,0.424,3,8.5,0.354,4.4,9,0.49,0.51,6.5,7,0.92,0.5,3.9,4.4,7,1,0.2,2.6,1.8
Damion Lee,Phoenix Suns,United States,10,SG,SF,Catch & Shoot Ace,"6'6""",210,"6'8""",2087519,9,1992-10-21,74,78,76,85,90,85,68,74,55,80,79,62,70,57,50,57,60,37,35,38,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Angelo Russell,Los Angeles Lakers,United States,1,PG,NA,3-Level Scoring Playmaker,"6'3""",193,"6'10""",18692307,10,1996-02-23,81,83,81,83,80,70,81,81,54,93,83,87,90,88,54,40,65,41,52,31,47,27,18,76,69,32.7,6.5,14.2,0.456,3,7.2,0.415,3.5,7,0.497,0.56,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1
Daniel Gafford,Dallas Mavericks,United States,21,C,NA,Paint Beast,"6'10""",234,"7'2""",13394160,6,1998-10-01,81,97,65,29,69,75,75,70,73,80,80,37,35,37,71,83,57,49,92,77,81,25,11,74,66,24.5,4.7,6.5,0.725,0,0,0,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1
Daniel Theis,New Orleans Pelicans,Germany,10,C,NA,2-Way 3-Level Scoring Threat,"6'8""",245,"7'0""",2087519,12,1992-04-04,74,88,76,80,70,65,57,67,82,90,65,69,49,54,67,79,53,37,82,69,68,31,6.3,60,3,16.9,2.6,4.9,0.532,0.4,1.2,0.366,2.2,3.7,0.586,0.577,0.6,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1
Dante Exum,Dallas Mavericks,Australia,0,SF,SG,3PT Shot Creator,"6'5""",214,"6'10""",3150000,11,1995-07-13,75,85,73,86,70,70,79,82,48,80,83,75,75,77,57,27,76,37,35,37,56,28,7.8,55,17,19.8,2.9,5.5,0.533,1,2,0.491,2,3.5,0.557,0.621,1,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5
DaQuan Jeffries,Charlotte Hornets,United States,21,SF,SG,Mid-Range Scoring Threat,"6'5""",222,"6'11""",2463946,6,1997-08-30,70,60,75,66,76,50,79,79,57,80,80,55,70,53,50,54,58,42,57,45,54,26,0.8,17,0,2.7,0.4,1,0.353,0.1,0.6,0.2,0.2,0.4,0.571,0.412,0,0.1,0,0,0.3,0.3,0.3,0,0.1,0.2,0.1
Dario Saric,Denver Nuggets,Croatia,20,PF,C,Inside-Out Scoring Threat,"6'10""",225,"6'10""",5168000,11,1994-04-08,76,93,71,81,83,50,63,69,65,82,81,75,69,84,63,80,66,43,45,62,79,29,8,64,9,17.2,2.8,6.1,0.466,1.2,3.1,0.376,1.7,3,0.56,0.562,1.2,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8
Dariq Whitehead,Brooklyn Nets,United States,0,SF,SG,Shot-Creating 3-Level Threat,"6'6""",220,"6'10""",3114240,2,2004-08-01,71,77,76,79,79,60,79,79,52,90,77,67,78,66,57,40,65,64,52,37,48,19,1.5,2,0,12,0.5,2.5,0.2,0,1.5,0,0.5,1,0.5,0.2,0.5,1,0.5,0,2,2,1.5,0,0.5,0,0
Darius Garland,Cleveland Cavaliers,United States,10,PG,SG,Offensive Architect,"6'1""",192,"6'5""",36725670,6,2000-01-26,82,88,86,82,84,65,88,88,40,95,80,92,89,95,53,31,69,56,32,34,42,24,18,57,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,4.3,8.5,0.501,0.524,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7
DaRon Holmes II,Denver Nuggets,United States,14,PF,C,Stretch Four,"6'10""",235,"7'1""",3065640,1,2002-08-15,71,77,76,75,70,50,75,69,60,88,80,49,60,50,66,76,63,59,73,60,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Duke Jr.,San Antonio Spurs,United States,11,SG,SF,Secondary Ball-Handler,"6'4""",204,"6'8""",NA,4,1999-10-13,69,68,73,69,79,70,83,83,55,80,83,62,73,60,46,40,60,63,35,52,46,24,6.5,4,0,12.8,2.5,4.5,0.556,0.8,1.5,0.5,1.8,3,0.583,0.639,0.8,0.8,1,0.5,2,2.5,1.3,0.5,0,0.8,1
David Roddy,Atlanta Hawks,United States,28,SF,PF,Promising Prospect,"6'4""",255,"7'0""",2847240,3,2001-03-27,73,72,72,71,71,70,75,74,73,88,80,62,66,60,57,64,65,38,47,48,64,22,6.5,65,13,18.1,2.5,6.3,0.403,0.7,2.5,0.293,1.8,3.8,0.478,0.462,0.7,1,0.691,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.1
Davion Mitchell,Toronto Raptors,United States,45,PG,SG,2-Way Perimeter Shot Creator,"6'0""",202,"6'4""",6451077,4,1998-09-05,72,90,81,80,81,25,82,88,60,90,80,74,86,74,64,44,87,33,30,34,44,25,5.3,72,4,15.3,2,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.54,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0,0.6,1.2
Day'Ron Sharpe,Brooklyn Nets,United States,20,C,NA,Board-Hunting Paint Protector,"6'9""",265,"7'0""",3989122,4,2001-11-06,74,79,49,48,61,50,61,61,79,80,80,62,58,66,62,69,60,41,81,93,89,22,6.8,61,1,15.1,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,0.578,1.2,2,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1
De'Aaron Fox,Sacramento Kings,United States,5,PG,NA,2-Way 3-Level Playmaker,"6'3""",185,"6'7""",34848340,8,1997-12-20,88,97,88,80,73,80,97,93,46,96,80,85,88,88,71,34,84,83,51,38,54,26,26.6,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6
Dean Wade,Cleveland Cavaliers,United States,32,PF,SF,Stretch Four,"6'9""",228,"6'10""",6166667,6,1996-11-20,72,78,70,83,65,70,62,68,60,80,79,38,60,55,61,50,67,56,55,43,70,27,5.4,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4,0.8,0.7,0.5,0.4,1.7
Deandre Ayton,Portland Trail Blazers,Bahamas,2,C,NA,Inside The Arc Board Hunter,"7'0""",250,"7'6""",34005126,7,1998-07-23,83,96,92,59,80,75,75,65,85,90,81,53,61,70,63,78,49,43,61,72,90,25,16.7,55,55,32.4,7.8,13.6,0.57,0,0.2,0.1,7.7,13.4,0.576,0.571,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1,0.8,1.8,2
De'Andre Hunter,Atlanta Hawks,United States,12,PF,SF,2-Way Stretch Four,"6'8""",221,"7'2""",21696429,6,1997-12-02,79,91,80,83,91,70,76,83,65,90,80,67,70,64,64,63,83,38,47,34,57,26,15.6,57,37,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,0.547,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6
DeAndre Jordan,Denver Nuggets,United States,6,C,NA,Board-Hunting Paint Protector,"6'11""",265,"7'6""",NA,17,1988-07-21,74,74,25,25,36,75,65,62,85,92,94,25,30,66,59,70,57,40,72,91,90,35,3.9,36,2,11,1.6,2.6,0.624,0,0,0,1.6,2.6,0.624,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6
De'Anthony Melton,Golden State Warriors,United States,8,SG,PG,Defensive Menace,"6'3""",200,"6'9""",12822000,7,1998-05-28,77,74,60,81,81,70,76,76,44,80,83,78,83,75,76,48,84,86,53,40,55,25,11.1,38,33,26.9,3.7,9.5,0.386,2,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3,3.7,3,1.6,0.4,1,2.2
Dejounte Murray,New Orleans Pelicans,United States,5,SG,PG,2-Way 3-Level Combo Guard,"6'5""",180,"6'10""",25499599,9,1996-09-19,86,95,96,80,86,80,83,85,40,90,80,85,88,84,73,53,85,74,45,36,62,27,22.5,78,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6,11.7,0.518,0.528,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8
Delon Wright,Milwaukee Bucks,United States,55,PG,SG,Defensive Menace,"6'5""",185,"6'8""",2087519,10,1992-04-26,75,69,68,80,85,60,73,84,58,90,84,80,86,75,75,49,84,96,52,38,50,31,4.5,47,1,15.8,1.6,4,0.394,0.5,1.4,0.368,1,2.6,0.408,0.46,0.8,1,0.822,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7
DeMar DeRozan,Sacramento Kings,United States,10,SF,PF,Shot-Creating 3-Level Threat,"6'6""",220,"6'9""",23400000,16,1989-08-07,87,96,93,76,82,80,82,82,73,88,91,73,83,75,59,50,70,43,55,33,53,34,24,79,79,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2
Deni Avdija,Portland Trail Blazers,Israel,8,SF,PF,2-Way Inside-Out Shot Creator,"6'9""",210,"6'9""",15625000,5,2001-01-03,80,84,66,83,84,70,73,79,65,89,84,79,78,79,67,62,80,40,52,44,81,23,14.7,75,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,0.56,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5
Dennis Schroder,Brooklyn Nets,Germany,17,PG,SG,Shot-Creating 3-Level Threat,"6'1""",172,"6'8""",13025250,12,1993-09-15,78,79,86,81,87,75,84,88,46,93,80,82,86,80,55,34,73,40,40,33,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dereck Lively II,Dallas Mavericks,United States,2,C,NA,Paint Beast,"7'1""",230,"7'7""",5014560,2,2004-02-12,81,95,60,52,59,80,50,57,70,80,80,69,52,68,65,78,57,41,85,77,77,19,8.8,55,42,23.5,4,5.4,0.747,0,0,0,4,5.3,0.752,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6
Derrick Jones Jr.,Los Angeles Clippers,United States,55,SF,PF,High Flyer,"6'6""",210,"7'0""",9523810,9,1997-02-15,77,93,68,77,74,60,77,79,59,83,78,65,68,54,68,67,79,42,65,50,50,26,8.6,76,66,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,0.566,1.3,1.8,0.713,1.1,2.2,3.3,1,0.7,0.7,0.9,1.6
Derrick White,Boston Celtics,United States,9,SG,PG,2-Way 3-Level Combo Guard,"6'4""",190,"6'8""",20071429,8,1994-07-02,86,94,84,85,89,85,88,93,46,85,81,88,86,82,81,58,93,81,72,36,53,29,15.2,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,0.578,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1,1.2,1.5,2.1
